event,tag,sport,sport_code,sport_url,venue_name,venue_lat,venue_long,venue_name_clean
Men's Kite,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
Men's Dinghy,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
Men's Skiff,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
Women's Windsurfing,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
Women's Kite,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
Women's Dinghy,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
Women's Skiff,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
Mixed Dinghy,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
Mixed Multihull,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
10m Air Rifle Men,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
50m Rifle 3 Positions Men,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
10m Air Pistol Men,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
25m Rapid Fire Pistol Men,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
Trap Men,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
Skeet Men,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
10m Air Rifle Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
50m Rifle 3 Positions Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
10m Air Pistol Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
